name,parent_category_id,description,procedure_id,relevant_resources,available_databases,id,created_date,updated_date,created_by_id,created_by,is_sample
"גניבה או ניסיון גניבה","1","גניבת ציוד או רכוש או ניסיון גניבה","","[]","[""""contact"""",""""vehicle""""]","6832b1cb6016491cb38e07bb","2025-05-25T05:59:39.330000","2025-05-25T05:59:39.330000","null","kligerai123@gmail.com","false"
"תקלה במצלמות אבטחה","2","תקלות במערכות הצילום והמעקב","2","[]","[""""resource""""]","6832b1cb6016491cb38e07bc","2025-05-25T05:59:39.330000","2025-05-25T05:59:39.330000","null","kligerai123@gmail.com","false"
"תאונת עבודה","3","תאונה במהלך העבודה הדורשת טיפול","","[]","[""""contact"""",""""institution""""]","6832b1cb6016491cb38e07be","2025-05-25T05:59:39.330000","2025-05-25T05:59:39.330000","null","kligerai123@gmail.com","false"
"חדירה למתחם","1","חדירה לא מורשית למתחם או לאזורים מוגבלים","1","[]","[""""contact"""",""""vehicle""""]","6832b1cb6016491cb38e07ba","2025-05-25T05:59:39.330000","2025-05-25T05:59:39.330000","null","kligerai123@gmail.com","false"
"תקלה במערכות אזעקה","2","בעיות במערכות הגילוי והאזעקה","2","[]","[""""resource""""]","6832b1cb6016491cb38e07bd","2025-05-25T05:59:39.330000","2025-05-25T05:59:39.330000","null","kligerai123@gmail.com","false"
"חפץ חשוד","6832b1cb6016491cb38e07b6","","6832b1cb6016491cb38e07b3","[""""6832b275acb30a9202a9380f"""",""""6832b275acb30a9202a9380e""""]","[""""vehicle""""]","6832bc74bcc45ae65cd90213","2025-05-25T06:45:08.438000","2025-05-25T06:45:08.438000","null","kligerai123@gmail.com","false"
"מוס״ח מרכיבי ביטחון","6832fd9a3d1c7d7414f11046","","6832fedf3d1c7d7414f11982","[]","[""""institution""""]","6832fdaf8ba18b770d2c70d4","2025-05-25T11:23:27.325000","2025-05-25T11:29:07.078000","null","kligerai123@gmail.com","false"
"התאבדות","6830809f3ac0d103302a591e","","6832b1cb6016491cb38e07b2","[""""6832b275acb30a9202a9380c"""",""""6832b275acb30a9202a9380d""""]","[""""contact""""]","683441360d029d861c721de5","2025-05-26T10:23:50.376000","2025-05-26T18:33:26.661000","null","kligerai123@gmail.com","false"
"דוח קבוע יומי - שלוש פעמים ביום","683445c8ce3f6e74d25972a5","","6834458a163d1308c5dda222","[]","[]","683446125ed111a9dd26a7db","2025-05-26T10:44:34.017000","2025-05-26T10:44:49.712000","null","kligerai123@gmail.com","false"
"חדירה","6832b1cb6016491cb38e07b6","","6832b1cb6016491cb38e07b2","[""""6832b275acb30a9202a9380d""""]","[""""vehicle"""",""""contact""""]","68344e8abc94eb073822e418","2025-05-26T11:20:42.555000","2025-05-26T11:20:42.555000","null","kligerai123@gmail.com","false"
"ריק","68386912d7eb602a468c4b6e","","6832b1cb6016491cb38e07b2","[""""6832b275acb30a9202a9380d""""]","[""""contact""""]","6838693039f8dd532a9cb649","2025-05-29T14:03:28.979000","2025-05-29T14:03:28.979000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"דוח אתרי בנייה","683b97d13a737f6caaa91cce","","683b979920f7871778e24315","[]","[]","683b97e75c9658330c329c82","2025-05-31T23:59:35.938000","2025-05-31T23:59:35.938000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"דוח פעולה","683445c8ce3f6e74d25972a5","","683c48e8c89897d4d18d714d","undefined","undefined","683c455b524145662b6197bb","2025-06-01T12:19:39.188000","2025-06-05T07:38:34.307000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"פיצוץ צינור מים","6832b1cb6016491cb38e07b7","","","undefined","undefined","684553eb8c41bddf04a2c155","2025-06-08T09:12:11.052000","2025-06-08T09:12:11.052000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
