title,shift_id,reporter_id,field_agent_id,handling_team,contact_id,location,category,sub_category,description,status,procedure_definition_id,logs,involved_entities,resources_used,procedure_steps,summary,notifications_sent,closed_at,closed_by,id,created_date,updated_date,created_by_id,created_by,is_sample
"תקלה במצלמה - כניסה ראשית","","","","[]","","{""""latitude"""":31.7683,""""longitude"""":35.2137,""""location_id"""":""""6"""",""""description"""":""""כניסה ראשית לבניין""""}","תקלות ציוד","תקלה במצלמות אבטחה","המצלמה הראשית בכניסה למתחם הפסיקה לעבוד. נראה שיש בעיה בספק הכוח או בכבל התמונה.","in_progress","null","[{""""timestamp"""":""""2024-01-16T08:15:00Z"""",""""user_id"""":""""security_guard_2"""",""""content"""":""""זוהה שהמצלמה בכניסה הראשית לא מציגה תמונה במוקד"""",""""tagged_entities"""":[]},{""""timestamp"""":""""2024-01-16T08:20:00Z"""",""""user_id"""":""""security_guard_2"""",""""content"""":""""בדיקה פיזית - נראה שהכבל עשוי להיות פגום"""",""""tagged_entities"""":[]},{""""timestamp"""":""""2024-01-16T08:25:00Z"""",""""user_id"""":""""maintenance_manager"""",""""content"""":""""קיבלתי את הדיווח - טכנאי יגיע תוך שעתיים"""",""""tagged_entities"""":[]}]","[{""""entity_type"""":""""contact"""",""""entity_id"""":""""6832b63eacb30a9202a93b4c"""",""""role"""":""""involved""""},{""""entity_type"""":""""vehicle"""",""""entity_id"""":""""6832b1cb6016491cb38e07cf"""",""""role"""":""""involved""""},{""""entity_type"""":""""contact"""",""""entity_id"""":""""6832b1cb6016491cb38e07c9"""",""""role"""":""""witness""""},{""""entity_type"""":""""vehicle"""",""""entity_id"""":""""6832b63eacb30a9202a93b53"""",""""role"""":""""involved""""}]","[]","[]","תקלה במצלמה ראשית - בטיפול צוות תחזוקה","[]","null","null","6832b1cb6016491cb38e07c1","2025-05-25T05:59:39.366000","2025-05-25T11:19:48.652000","null","kligerai123@gmail.com","false"
"חדירה לאזור חניה A","","","","[]","anonymous","{""""latitude"""":31.7685,""""longitude"""":35.2135,""""location_id"""":""""4"""",""""description"""":""""אזור חניה A - ליד המחסום הראשי""""}","אירועי אבטחה","חדירה למתחם","זוהתה חדירה של אדם לא מזוהה לאזור חניה A. האדם נעצר על ידי הצוות ומסר שחיפש את משרדי החברה. הובהר לו שעליו להיכנס דרך הכניסה הראשית.","closed","undefined","[{""""timestamp"""":""""2024-01-15T14:30:00Z"""",""""user_id"""":""""security_guard_1"""",""""content"""":""""זוהה אדם חשוד בכניסה לאזור חניה A ללא רכב"""",""""tagged_entities"""":[]},{""""timestamp"""":""""2024-01-15T14:32:00Z"""",""""user_id"""":""""security_guard_1"""",""""content"""":""""התקרבתי לאדם ובקשתי זיהוי - מסר שמחפש את משרדי החברה"""",""""tagged_entities"""":[]},{""""timestamp"""":""""2024-01-15T14:35:00Z"""",""""user_id"""":""""security_guard_1"""",""""content"""":""""הובלתי את האדם לכניסה הראשית והובהרו לו ההנחיות"""",""""tagged_entities"""":[]}]","[]","[]","[{""""step_id"""":""""1"""",""""completed"""":true,""""completed_at"""":""""2024-01-15T14:30:00Z"""",""""completed_by"""":""""security_guard_1"""",""""notes"""":""""זוהה אדם חשוד נכנס לאזור ללא רכב""""},{""""step_id"""":""""2"""",""""completed"""":true,""""completed_at"""":""""2024-01-15T14:31:00Z"""",""""completed_by"""":""""security_guard_1"""",""""notes"""":""""דיווח למוקד בוצע תוך 60 שניות""""}]","אירוע חדירה קל שטופל במהירות - אדם שהתבלבל בכניסה","[]","2024-01-15T14:40:00Z","security_guard_1","6832b1cb6016491cb38e07c0","2025-05-25T05:59:39.366000","2025-05-25T05:59:39.366000","null","kligerai123@gmail.com","false"
"פעילות חשודה - אזור חניה B","","","","[]","","{""""latitude"""":31.768,""""longitude"""":35.214,""""location_id"""":""""5"""",""""description"""":""""אזור חניה B - צד מזרחי""""}","אירועי אבטחה","חדירה למתחם","זוהו שני אנשים מסתובבים באזור חניה B בשעות הלילה המאוחרות וחותרים ברכבים חונים. בעקבות התקרבות השומר הם עזבו את המקום.","in_progress","undefined","[{""""timestamp"""":""""2024-01-16T23:45:00Z"""",""""user_id"""":""""night_security_guard"""",""""content"""":""""זיהיתי שני אנשים בסיור חניה B נראים מחפשים משהו ברכבים"""",""""tagged_entities"""":[]},{""""timestamp"""":""""2024-01-16T23:47:00Z"""",""""user_id"""":""""night_security_guard"""",""""content"""":""""התקרבתי אליהם והם ברחו לכיוון רחוב הראשי"""",""""tagged_entities"""":[]},{""""timestamp"""":""""2024-01-16T23:50:00Z"""",""""user_id"""":""""night_security_guard"""",""""content"""":""""ביצעתי בדיקה של הרכבים - לא זוהה נזק או גניבה"""",""""tagged_entities"""":[]},{""""timestamp"""":""""2025-05-25T07:11:56.255Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""סטטוס האירוע שונה ל: בטיפול"""",""""tagged_entities"""":[]}]","[]","[]","[]","פעילות חשודה שטרם הסתיימה - נדרש מעקב נוסף","[]","null","null","6832b1cb6016491cb38e07c2","2025-05-25T05:59:39.366000","2025-05-25T07:11:56.617000","null","kligerai123@gmail.com","false"
"חפץ חשוד ליד איזור המעבדות","","68306aee157222eb321f6d20","","[""""68306aee157222eb321f6d20""""]","anonymous","{""""latitude"""":32.10264133338524,""""longitude"""":34.805756069991936,""""location_id"""":""""6832b1cb6016491cb38e079b"""",""""description"""":""""אזור חניה A""""}","6832b1cb6016491cb38e07b6","6832bc74bcc45ae65cd90213","תיק מוזר","open","null","[{""""timestamp"""":""""2025-05-25T07:00:39.920Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""שימוש במשאב: PATROL-CAR-B"""",""""tagged_entities"""":[{""""entity_type"""":null,""""entity_id"""":null,""""slug"""":null}]},{""""timestamp"""":""""2025-05-25T11:38:00.323Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""שימוש במשאב: BODYCAM-002"""",""""tagged_entities"""":[{""""entity_type"""":null,""""entity_id"""":null,""""slug"""":null}]}]","[]","[{""""resource_id"""":""""6832b275acb30a9202a93816"""",""""usage_details"""":"""""""",""""form_response_id"""":null},{""""resource_id"""":""""6832b275acb30a9202a93814"""",""""usage_details"""":"""""""",""""form_response_id"""":null}]","[{""""step_id"""":""""1"""",""""title"""":null,""""description"""":null,""""is_required"""":false,""""step_type"""":null,""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""2"""",""""title"""":null,""""description"""":null,""""is_required"""":false,""""step_type"""":null,""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""3"""",""""title"""":null,""""description"""":null,""""is_required"""":false,""""step_type"""":null,""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""4"""",""""title"""":null,""""description"""":null,""""is_required"""":false,""""step_type"""":null,""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null}]","null","[]","null","null","6832bcd16c633152293902f4","2025-05-25T06:46:41.325000","2025-05-25T11:38:00.582000","null","kligerai123@gmail.com","false"
"ביקורת יומית","N/A","68306aee157222eb321f6d20","","[]","","{""""latitude"""":31.7682,""""longitude"""":35.2138,""""location_id"""":""""6832b1cb6016491cb38e079d"""",""""description"""":""""בניין ראשי""""}","6832fd9a3d1c7d7414f11046","6832fdaf8ba18b770d2c70d4","כללי","closed","6832fedf3d1c7d7414f11982","[{""""timestamp"""":""""2025-05-25T11:35:07.587Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""סיכום האירוע עודכן/נוסף."""",""""tagged_entities"""":[]},{""""timestamp"""":""""2025-05-25T11:35:11.257Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""סטטוס האירוע שונה ל: סגור"""",""""tagged_entities"""":[]}]","[]","[]","[{""""step_id"""":""""1"""",""""title"""":""""מילוי טופס בסיסי"""",""""description"""":"""""""",""""is_required"""":true,""""step_type"""":""""form"""",""""form_id"""":""""6832fe618fd6aab289817880"""",""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null}]","סיכום אירוע: ביקורת יומית
תאריך: 25.5.2025 11:34
קטגוריה: 6832fd9a3d1c7d7414f11046 - 6832fdaf8ba18b770d2c70d4
תיאור: כללי

יומן אירועים עיקרי:


האירוע עדיין בטיפול.","[]","2025-05-25T11:35:10.874Z","68306aee157222eb321f6d20","683300475a414b18bcf517a1","2025-05-25T11:34:31.839000","2025-05-25T11:35:11.542000","null","kligerai123@gmail.com","false"
"334234","N/A","68306aee157222eb321f6d20","","[]","anonymous","{""""latitude"""":31.7682,""""longitude"""":35.2138,""""location_id"""":""""6832b1cb6016491cb38e079d"""",""""description"""":""""בניין ראשי""""}","683445c8ce3f6e74d25972a5","683446125ed111a9dd26a7db"," שגרה","closed","6834458a163d1308c5dda222","[{""""timestamp"""":""""2025-05-26T10:46:23.812Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""השלים שלב בנוהל: \""""בדיקת תקינות מצלמות\"""""""",""""tagged_entities"""":[]},{""""timestamp"""":""""2025-05-26T10:46:28.521Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""השלים שלב בנוהל: \""""בדיקת תקינות מערכת כריזה\"""""""",""""tagged_entities"""":[]},{""""timestamp"""":""""2025-05-26T10:46:31.257Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""השלים שלב בנוהל: \""""בדיקת מערכת גילוי אש\"""""""",""""tagged_entities"""":[]},{""""timestamp"""":""""2025-05-26T10:46:35.889Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""סטטוס האירוע שונה ל: סגור"""",""""tagged_entities"""":[]}]","[]","[]","[{""""step_id"""":""""1"""",""""title"""":""""בדיקת תקינות מצלמות"""",""""description"""":"""""""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":true,""""completed_at"""":""""2025-05-26T10:46:23.316Z"""",""""completed_by"""":""""68306aee157222eb321f6d20"""",""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""2"""",""""title"""":""""בדיקת תקינות מערכת כריזה"""",""""description"""":"""""""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":true,""""completed_at"""":""""2025-05-26T10:46:28.259Z"""",""""completed_by"""":""""68306aee157222eb321f6d20"""",""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""3"""",""""title"""":""""בדיקת מערכת גילוי אש"""",""""description"""":"""""""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":true,""""completed_at"""":""""2025-05-26T10:46:30.984Z"""",""""completed_by"""":""""68306aee157222eb321f6d20"""",""""notes"""":"""""""",""""form_submission_id"""":null}]","null","[]","2025-05-26T10:46:35.625Z","68306aee157222eb321f6d20","68344673b417c29671d364a8","2025-05-26T10:46:11.519000","2025-05-26T10:46:36.150000","null","kligerai123@gmail.com","false"
"רקע","N/A","68306aee157222eb321f6d20","","[]","","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":"""""""",""""description"""":""""ק׳כ׳ק""""}","683445c8ce3f6e74d25972a5","683446125ed111a9dd26a7db","קכ","open","6834458a163d1308c5dda222","[{""""timestamp"""":""""2025-05-26T11:11:31.598Z"""",""""user_id"""":""""68306aee157222eb321f6d20"""",""""content"""":""""השלים שלב בנוהל: \""""בדיקת תקינות מצלמות\"""""""",""""tagged_entities"""":[]}]","[]","[]","[{""""step_id"""":""""1"""",""""title"""":""""בדיקת תקינות מצלמות"""",""""description"""":"""""""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":true,""""completed_at"""":""""2025-05-26T11:11:30.999Z"""",""""completed_by"""":""""68306aee157222eb321f6d20"""",""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""2"""",""""title"""":""""בדיקת תקינות מערכת כריזה"""",""""description"""":"""""""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""3"""",""""title"""":""""בדיקת מערכת גילוי אש"""",""""description"""":"""""""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null}]","null","[]","null","null","68344c40bc94eb073822c715","2025-05-26T11:10:56.527000","2025-05-26T11:11:31.862000","null","kligerai123@gmail.com","false"
"הדגכה","N/A","68306aee157222eb321f6d20","","[""""68306aee157222eb321f6d20""""]","anonymous","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":""""6832b1cb6016491cb38e079e"""",""""description"""":""""קומה 1 - לובי""""}","6832b1cb6016491cb38e07b6","68344e8abc94eb073822e418","גבגד","open","6832b1cb6016491cb38e07b2","[]","[]","[]","[{""""step_id"""":""""1"""",""""title"""":""""זיהוי ראשוני של האירוע"""",""""description"""":""""וידוא שמדובר באירוע חדירה ולא באזעקת שווא"""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""2"""",""""title"""":""""דיווח מיידי למוקד"""",""""description"""":""""דיווח טלפוני למוקד הבקרה בתוך 60 שניות"""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""3"""",""""title"""":""""מילוי דוח אירוע מהיר"""",""""description"""":""""מילוי טופס דיווח מהיר לתיעוד ראשוני"""",""""is_required"""":true,""""step_type"""":""""form"""",""""form_id"""":""""3"""",""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""4"""",""""title"""":""""בידוד האזור"""",""""description"""":""""סגירת גישות לאזור החדירה ומניעת כניסה נוספת"""",""""is_required"""":true,""""step_type"""":""""checkbox"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""5"""",""""title"""":""""תיעוד ראיות"""",""""description"""":""""צילום והקלטת ראיות באזור החדירה"""",""""is_required"""":true,""""step_type"""":""""document"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null},{""""step_id"""":""""6"""",""""title"""":""""דיווח למשטרה (במידת הצורך)"""",""""description"""":""""קביעה האם נדרש דיווח למשטרה והכנת הדיווח"""",""""is_required"""":false,""""step_type"""":""""text"""",""""form_id"""":null,""""document_url"""":null,""""completed"""":false,""""completed_at"""":null,""""completed_by"""":null,""""notes"""":"""""""",""""form_submission_id"""":null}]","null","[]","null","null","68344eab93af6cc43ab73cc9","2025-05-26T11:21:15.162000","2025-05-26T11:21:15.162000","null","kligerai123@gmail.com","false"
"אירוע פלילי","N/A","68306aee157222eb321f6d20","null","[]","","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":"""""""",""""description"""":""""""""}","6830809f3ac0d103302a591e","683441360d029d861c721de5","","open","","[]","[]","[]","[]","null","[]","null","null","6834ac090d029d861c73a77c","2025-05-26T17:59:37.299000","2025-05-26T17:59:37.299000","null","kligerai123@gmail.com","false"
"אירוע שגרה","N/A","68306aee157222eb321f6d20","null","[]","","{""""latitude"""":null,""""longitude"""":null,""""location_id"""":"""""""",""""description"""":""""""""}","683445c8ce3f6e74d25972a5","683446125ed111a9dd26a7db","","open","","[]","[]","[]","[]","null","[]","null","null","6834ae6916b89191b6696da5","2025-05-26T18:09:45.518000","2025-05-26T18:09:45.518000","null","kligerai123@gmail.com","false"
